number,mainstory,name,centercharacterimage,rightcenterimage,leftcenterimage,backimage,stillimage,charactercolor,bgm_state,bgm_num,se_num,selectdisp,selectbutton_num,monthimage,selectbuttontext3,selectbuttontext1,selectbuttontext2,textcolor
205,｢桜児くんお疲れ様！｣,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
206,｢[主人公の名前]ちゃん、応援ありがとうね！次の綱引き出るんだよね？がんばれ〜！｣,犬山 桜児,9,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1
207,桜児くんはやっぱりファンサが手厚いな〜。応援してくれてるし、綱引きがんばるぞ！,えみ,9,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
208,,,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
209,,,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
210,｢位置について、よーい……｣,生徒A,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,4
211,ピストルの音がなる。,,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
212,相手のチームすごい力だ……！力には自信ないけど頑張らなくちゃ！,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
213,自分たちのチームも負けじと綱を引いている。いい感じ！,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
214,｢うっ！痛い｣,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
215,手と綱が擦れてすごく痛い……！,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
216,でも、もう少しで勝てそう！我慢我慢……,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
217,その時、相手チームか凄い力で綱を引いてきた。,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
218,｢わっ！｣,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
219,｢っ……！｣,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
220,凄い勢いで転けちゃった、恥ずかしい……,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
221,｢怪我をしている……この様子だと大丈夫そうではないな。保健室に向かおう。｣,目鏡 光,6,0,0,7,0,0,0,1,0,0,0,0,0,0,0,3
222,｢なんで先輩が……って、えっ？！！｣,えみ,6,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
223,,,0,0,0,7,73,0,0,1,0,0,0,0,0,0,0,0
224,私、お姫様だっこされてる？！！,えみ,0,0,0,7,73,0,0,1,0,0,0,0,0,0,0,0
225,｢僕はリレーなどは得意ではないから綱引きに出たんだ。おかげで[主人公の名前]を助けることができてよかった。｣,目鏡 光,0,0,0,7,73,0,0,1,0,0,0,0,0,0,0,3
226,｢あの子目鏡生徒会長にお姫様だっこされてる、いいな〜……｣,女子生徒たち,0,0,0,7,73,0,0,1,0,0,0,0,0,0,0,4
227,ひぃ、そうだった、光先輩って本来はイケメンなんだった。,えみ,0,0,0,7,73,0,0,1,0,0,0,0,0,0,0,0
228,周りの女子たちに羨望の眼差しで見られてる……,えみ,0,0,0,7,73,0,0,1,0,0,0,0,0,0,0,0
229,[保健室],,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
230,｢あの、光先輩！保健室まで運んでくださってありがとうございます。すみません、迷惑をかけちゃって……｣,えみ,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
231,｢気にしないでくれ。一生懸命頑張った結果だからな。｣,目鏡 光,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,3
232,やっぱり光先輩って優しいな……,えみ,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
233,[運動場],,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
234,無事に体育祭が終わった。今日は色んな人に助けられた一日だったな……今度お礼をしなくちゃ！,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
