textnumber,logstorytext1,logstorytext2,logstorytext3,logstorytext4,logstorytext5,logstorytext6,lengthcount,mainstory,26以上判定(以上で1),一行残り字数,二行残り字数,三行残り字数,四行残り字数,五行残り字数,六行残り字数
168,今の見た目がおじさんなせい ,でパパ活してる人みたいな気分,になっちゃったけど。,0,0,0,74,今の見た目がおじさんなせいでパパ活してる人みたいな気分になっちゃったけど。,1,48,20,0,0,0,0
169,「ねぇねぇ！折角だしツーシ ,ョ撮らない？これもファンサっ,てことで！」,0,0,0,66,「ねぇねぇ！折角だしツーショ撮らない？これもファンサってことで！」,1,40,12,0,0,0,0
170,桜児くんはファンサって言い ,ながら色んなことをしてくれる,なぁ。,0,0,0,60,桜児くんはファンサって言いながら色んなことをしてくれるなぁ。,1,34,6,0,0,0,0
171,「こっちきて！撮るよ〜」,0,0,0,0,0,23,「こっちきて！撮るよ〜」,0,0,0,0,0,0,0
172,  ,0,0,0,0,0,2,  ,0,0,0,0,0,0,0
173,「うん！いい感じ！二人とも ,盛れてる〜っ！」,0,0,0,0,41,「うん！いい感じ！二人とも盛れてる〜っ！」,1,15,0,0,0,0,0
174,そ、そうなんだ……桜児くん ,が普通の男の子に戻った時のた,めに写真大切に残しとかなきゃ, ！,0,0,84,そ、そうなんだ……桜児くんが普通の男の子に戻った時のために写真大切に残しとかなきゃ！,1,58,30,2,0,0,0
175,「これもイ〇スタにのせるの ,？」,0,0,0,0,30,「これもイ〇スタにのせるの？」,1,4,0,0,0,0,0
176,「んーん！これは二人だけの ,写真だよ。可愛い子との写真を,載せたら他の子達が嫉妬しちゃ, うから！」,0,0,92,「んーん！これは二人だけの写真だよ。可愛い子との写真を載せたら他の子達が嫉妬しちゃうから！」,1,66,38,10,0,0,0
177,わ〜！これも元の姿で言われ ,たかったよ〜！呪いを解くため,にがんばらなきゃ。,0,0,0,70,わ〜！これも元の姿で言われたかったよ〜！呪いを解くためにがんばらなきゃ。,1,44,16,0,0,0,0
178,今月はお小遣い使い過ぎちゃ ,ってパンケーキを食べる余裕は,ないな……,0,0,0,64,今月はお小遣い使い過ぎちゃってパンケーキを食べる余裕はないな……,1,38,10,0,0,0,0
179,「パンケーキ食べたかったけ ,ど今月金欠で行けそうにないな,！ごめんね！」,0,0,0,68,「パンケーキ食べたかったけど今月金欠で行けそうにないな！ごめんね！」,1,42,14,0,0,0,0
180,「そういうときもあるよね〜 ,！他の人誘うから気にしないで,！」,0,0,0,57,「そういうときもあるよね〜！他の人誘うから気にしないで！」,1,31,3,0,0,0,0
181,か、悲しい……また金欠にな ,らないようにバイトして稼がな,いと！,0,0,0,60,か、悲しい……また金欠にならないようにバイトして稼がないと！,1,34,6,0,0,0,0
182,  ,0,0,0,0,0,2,  ,0,0,0,0,0,0,0
183,                           ,        ,0,0,0,0,34,                                  ,1,8,0,0,0,0,0
184,今日は体育祭。昨日まで天気 ,が不安だったけど、無事に晴れ,てよかった！,0,0,0,66,今日は体育祭。昨日まで天気が不安だったけど、無事に晴れてよかった！,1,40,12,0,0,0,0
185,私は小道具の係になったから ,朝から忙しいし気合い入れて頑,張ろう！,0,0,0,62,私は小道具の係になったから朝から忙しいし気合い入れて頑張ろう！,1,36,8,0,0,0,0
186,────皆よりもちょっと遅 ,めに来ちゃったから軽めの荷物,は運ばれちゃったみたい……,0,0,0,80,────皆よりもちょっと遅めに来ちゃったから軽めの荷物は運ばれちゃったみたい……,1,54,26,0,0,0,0
187,さっき気合い入れて頑張ろう ,としてたのに、重そうな小道具,ばかりでやる気なくなりそう。,0,0,0,82,さっき気合い入れて頑張ろうとしてたのに、重そうな小道具ばかりでやる気なくなりそう。,1,56,28,0,0,0,0
188,でも係の仕事だしそんなこと ,言ってられないよね。頑張るぞ,！,0,0,0,56,でも係の仕事だしそんなこと言ってられないよね。頑張るぞ！,1,30,2,0,0,0,0
189,｢ぐぐぐ、重い！｣,0,0,0,0,0,16,｢ぐぐぐ、重い！｣,0,0,0,0,0,0,0
190,なんとか持てたけどフラフラ ,しちゃう、よ……わっ！,0,0,0,0,48,なんとか持てたけどフラフラしちゃう、よ……わっ！,1,22,0,0,0,0,0
191,｢先輩、大丈夫？！｣,0,0,0,0,0,18,｢先輩、大丈夫？！｣,0,0,0,0,0,0,0
192,｢琉絆空くん？！｣,0,0,0,0,0,16,｢琉絆空くん？！｣,0,0,0,0,0,0,0
193,　                         ,                            ,                   ,0,0,0,73,　                                                                       ,1,47,19,0,0,0,0
194,｢女の子がこんなに重い荷物持, っちゃだめだろ？俺が持つか , さ！｣,0,0,0,60,｢女の子がこんなに重い荷物持っちゃだめだろ？俺が持つからさ！｣,1,34,6,0,0,0,0
195,｢あ、ありがとう……！｣,0,0,0,0,0,22,｢あ、ありがとう……！｣,0,0,0,0,0,0,0
196,へ〜、おじさんって力持ちな ,んだな〜。,0,0,0,0,34,へ〜、おじさんって力持ちなんだな〜。,1,8,0,0,0,0,0
197,ってちがうちがう！呪いのせ ,いでそう見えてるだけで高校生,の男子なんだった。,0,0,0,72,ってちがうちがう！呪いのせいでそう見えてるだけで高校生の男子なんだった。,1,46,18,0,0,0,0
198,最近おじさんの姿のOG☆3に見, 慣れてきてる！,0,0,0,0,41,最近おじさんの姿のOG☆3に見慣れてきてる！,1,15,0,0,0,0,0
199,あの性格の悪い銅像に洗脳さ ,れちゃうよ〜！,0,0,0,0,39,あの性格の悪い銅像に洗脳されちゃうよ〜！,1,13,0,0,0,0,0
200,琉絆空くんの協力のおかげで ,無事に係の仕事も終わってよか,った！,0,0,0,60,琉絆空くんの協力のおかげで無事に係の仕事も終わってよかった！,1,34,6,0,0,0,0
201,私の出番はまだだから友達の ,応援でもしようかな。,0,0,0,0,46,私の出番はまだだから友達の応援でもしようかな。,1,20,0,0,0,0,0
202,｢キャーーーーｯ！！｣,0,0,0,0,0,19,｢キャーーーーｯ！！｣,0,0,0,0,0,0,0
203,？！！,0,0,0,0,0,6,？！！,0,0,0,0,0,0,0
204,女子たちの歓声が聞こえてく ,る。なんだろう？,0,0,0,0,42,女子たちの歓声が聞こえてくる。なんだろう？,1,16,0,0,0,0,0
205,｢桜児くんがんばってー！｣,0,0,0,0,0,24,｢桜児くんがんばってー！｣,0,0,0,0,0,0,0
206,歓声を向けられている方を見 ,ると、リレーのアンカーとして,バトンを待つ桜児くんが見えた, 。,0,0,84,歓声を向けられている方を見ると、リレーのアンカーとしてバトンを待つ桜児くんが見えた。,1,58,30,2,0,0,0
207,桜児くんの前の人は一位と大 ,差つけられて二位みたい。,0,0,0,0,50,桜児くんの前の人は一位と大差つけられて二位みたい。,1,24,0,0,0,0,0
208,おじさんの呪いをかけられる ,前の桜児くんを思い出すと、小,柄で女の子みたいだし大丈夫か, な……？,0,0,90,おじさんの呪いをかけられる前の桜児くんを思い出すと、小柄で女の子みたいだし大丈夫かな……？,1,64,36,8,0,0,0
209,ちょっと心配だけど桜児くん ,にがんばってほしいし私も応援,しよう！,0,0,0,62,ちょっと心配だけど桜児くんにがんばってほしいし私も応援しよう！,1,36,8,0,0,0,0
210,｢桜児くんがんばれーー！！｣,0,0,0,0,0,26,｢桜児くんがんばれーー！！｣,0,0,0,0,0,0,0
211,ついに桜児くんにバトンが渡 ,ったその時​─────,0,0,0,0,47,ついに桜児くんにバトンが渡ったその時​─────,1,21,0,0,0,0,0
212,    ,0,0,0,0,0,4,    ,0,0,0,0,0,0,0
213,｢おまたせ〜！ごめんね一位の, 人！抜かしちゃうよ！｣,0,0,0,0,47,｢おまたせ〜！ごめんね一位の人！抜かしちゃうよ！｣,1,21,0,0,0,0,0
214,｢キャーーー！｣,0,0,0,0,0,14,｢キャーーー！｣,0,0,0,0,0,0,0
215,桜児くん速い！あっという間 ,に一位の人を抜かしちゃった！,0,0,0,0,54,桜児くん速い！あっという間に一位の人を抜かしちゃった！,1,28,0,0,0,0,0
216,桜児くんって見かけによらず ,運動神経よかったんだ……,0,0,0,0,50,桜児くんって見かけによらず運動神経よかったんだ……,1,24,0,0,0,0,0
217,リレーが終わって桜児くんは ,応援席にきてくれた。,0,0,0,0,46,リレーが終わって桜児くんは応援席にきてくれた。,1,20,0,0,0,0,0
218,｢桜児くんお疲れ様！｣,0,0,0,0,0,20,｢桜児くんお疲れ様！｣,0,0,0,0,0,0,0
219,｢応援ありがとうね！次の綱引, き出るんだよね？がんばれ〜 , ｣,0,0,0,55,｢応援ありがとうね！次の綱引き出るんだよね？がんばれ〜！｣,1,29,1,0,0,0,0
220,桜児くんはやっぱりファンサ ,が手厚いな〜。応援してくれて,るし、綱引きがんばるぞ！,0,0,0,77,桜児くんはやっぱりファンサが手厚いな〜。応援してくれてるし、綱引きがんばるぞ！,1,51,23,0,0,0,0
221,    ,0,0,0,0,0,4,    ,0,0,0,0,0,0,0
222,｢位置について、よーい……｣,0,0,0,0,0,26,｢位置について、よーい……｣,0,0,0,0,0,0,0
223,ピストルの音がなる。,0,0,0,0,0,20,ピストルの音がなる。,0,0,0,0,0,0,0
224,相手のチームすごい力だ…… ,！力には自信ないけど頑張らな,くちゃ！,0,0,0,62,相手のチームすごい力だ……！力には自信ないけど頑張らなくちゃ！,1,36,8,0,0,0,0
225,自分たちのチームも負けじと ,綱を引いている。いい感じ！,0,0,0,0,52,自分たちのチームも負けじと綱を引いている。いい感じ！,1,26,0,0,0,0,0
226,｢うっ！痛い｣,0,0,0,0,0,12,｢うっ！痛い｣,0,0,0,0,0,0,0
227,手と綱が擦れてすごく痛い… ,…！,0,0,0,0,30,手と綱が擦れてすごく痛い……！,1,4,0,0,0,0,0
228,でも、もう少しで勝てそう！ ,我慢我慢……,0,0,0,0,38,でも、もう少しで勝てそう！我慢我慢……,1,12,0,0,0,0,0
229,その時、相手チームか凄い力 ,で綱を引いてきた。,0,0,0,0,44,その時、相手チームか凄い力で綱を引いてきた。,1,18,0,0,0,0,0
230,｢わっ！｣,0,0,0,0,0,8,｢わっ！｣,0,0,0,0,0,0,0
231,｢っ……！｣,0,0,0,0,0,10,｢っ……！｣,0,0,0,0,0,0,0
232,凄い勢いで転けちゃった、恥 ,ずかしい……,0,0,0,0,38,凄い勢いで転けちゃった、恥ずかしい……,1,12,0,0,0,0,0
233,｢怪我をしている……この様子, だと大丈夫そうではないな。 , 健室に向かおう。｣,0,0,0,72,｢怪我をしている……この様子だと大丈夫そうではないな。保健室に向かおう。｣,1,46,18,0,0,0,0
234,｢なんで先輩が……って、えっ, ？！！｣,0,0,0,0,34,｢なんで先輩が……って、えっ？！！｣,1,8,0,0,0,0,0
235,   ,0,0,0,0,0,3,   ,0,0,0,0,0,0,0
236,私、お姫様だっこされてる？ ,！！,0,0,0,0,30,私、お姫様だっこされてる？！！,1,4,0,0,0,0,0
237,｢僕はリレーなどは得意ではな, いから綱引きに出たんだ。お , げで君を助けることができて ,よかった。｣,0,0,92,｢僕はリレーなどは得意ではないから綱引きに出たんだ。おかげで君を助けることができてよかった。｣,1,66,38,10,0,0,0
238,｢あの子目鏡生徒会長にお姫様, だっこされてる、いいな〜… , ｣,0,0,0,55,｢あの子目鏡生徒会長にお姫様だっこされてる、いいな〜……｣,1,29,1,0,0,0,0
239,ひぃ、そうだった、光先輩っ ,て本来はイケメンなんだった。,0,0,0,0,54,ひぃ、そうだった、光先輩って本来はイケメンなんだった。,1,28,0,0,0,0,0
240,周りの女子たちに羨望の眼差 ,しで見られてる……,0,0,0,0,44,周りの女子たちに羨望の眼差しで見られてる……,1,18,0,0,0,0,0
241,       ,0,0,0,0,0,7,       ,0,0,0,0,0,0,0
242, ,0,0,0,0,0,1, ,0,0,0,0,0,0,0
243,                           ,        ,0,0,0,0,34,                                  ,1,8,0,0,0,0,0
244,｢あの、光先輩！保健室まで運, んでくださってありがとうご , います。すみません、迷惑を ,かけちゃって……｣,0,0,98,｢あの、光先輩！保健室まで運んでくださってありがとうございます。すみません、迷惑をかけちゃって……｣,1,72,44,16,0,0,0
245,｢気にしないでくれ。一生懸命, 頑張った結果だからな。｣,0,0,0,0,50,｢気にしないでくれ。一生懸命頑張った結果だからな。｣,1,24,0,0,0,0,0
246,やっぱり光先輩って優しいな ,……,0,0,0,0,30,やっぱり光先輩って優しいな……,1,4,0,0,0,0,0
247,無事に体育祭が終わった。今 ,日は色んな人に助けられた一日,だったな……今度お礼をしなく, ちゃ！,0,0,88,無事に体育祭が終わった。今日は色んな人に助けられた一日だったな……今度お礼をしなくちゃ！,1,62,34,6,0,0,0
248,       ,0,0,0,0,0,7,       ,0,0,0,0,0,0,0
249, ,0,0,0,0,0,1, ,0,0,0,0,0,0,0
250,8月,0,0,0,0,0,3,8月,0,0,0,0,0,0,0
251,9月,0,0,0,0,0,3,9月,0,0,0,0,0,0,0
252, ,0,0,0,0,0,1, ,0,0,0,0,0,0,0
253,「い……………………おい… ,…………………聞こえているか,？」,0,0,0,58,「い……………………おい……………………聞こえているか？」,1,32,4,0,0,0,0
254,「んぅ………………」,0,0,0,0,0,20,「んぅ………………」,0,0,0,0,0,0,0
255,「起きんか！重要な知らせが ,あるのじゃ！」,0,0,0,0,40,「起きんか！重要な知らせがあるのじゃ！」,1,14,0,0,0,0,0
256,「げ、この声とこの話しかけ ,方は！……意地の悪い銅像！！,！の、幻聴？夢？」,0,0,0,72,「げ、この声とこの話しかけ方は！……意地の悪い銅像！！！の、幻聴？夢？」,1,46,18,0,0,0,0
257,「意地の悪いとはなんじゃ！ ,ただ暇つぶしにおぬしだけにお,じさんの幻覚がみえる呪いを…, …,0,0,84,「意地の悪いとはなんじゃ！ただ暇つぶしにおぬしだけにおじさんの幻覚がみえる呪いを……,1,58,30,2,0,0,0
258,……ってわし性格悪いのう？ ,！」,0,0,0,0,30,……ってわし性格悪いのう？！」,1,4,0,0,0,0,0
259,「一応、自覚はあったんだ！ ,」,0,0,0,0,28,「一応、自覚はあったんだ！」,1,2,0,0,0,0,0
260,「近頃OG☆3の3人との中はど ,うじゃ？」,0,0,0,0,36,「近頃OG☆3の3人との中はどうじゃ？」,1,10,0,0,0,0,0
261,「こんな夜中に銅像のおじさ ,んとガールズトークかよ！」,0,0,0,0,52,「こんな夜中に銅像のおじさんとガールズトークかよ！」,1,26,0,0,0,0,0
262,「わしは爺さんじゃが？」,0,0,0,0,0,24,「わしは爺さんじゃが？」,0,0,0,0,0,0,0
263,「……まぁ話を戻すが、わし ,は4月に「クリスマスまで「両 , いにならないとOG☆3がおじさ, んに見える呪いは解かない」 ,と言ったな？」,0,122,「……まぁ話を戻すが、わしは4月に「クリスマスまで「両思いにならないとOG☆3がおじさんに見える呪いは解かない」と言ったな？」,1,96,68,40,12,0,0
264,「はい……」,0,0,0,0,0,12,「はい……」,0,0,0,0,0,0,0
265,「呪いの解く呪文を忘れてし ,まったのじゃ」,0,0,0,0,40,「呪いの解く呪文を忘れてしまったのじゃ」,1,14,0,0,0,0,0
266,「ハァ？！！！」,0,0,0,0,0,16,「ハァ？！！！」,0,0,0,0,0,0,0
267,「ただし、思い出す方法が1つ, ある」,0,0,0,0,33,「ただし、思い出す方法が1つある」,1,7,0,0,0,0,0
268,「どんな方法なの？」,0,0,0,0,0,20,「どんな方法なの？」,0,0,0,0,0,0,0
269,「我が校では、毎年文化祭で ,最も活躍した人が選ばれる『織,路原賞』というものが選ばれる, のじゃが,0,0,90,「我が校では、毎年文化祭で最も活躍した人が選ばれる『織路原賞』というものが選ばれるのじゃが,1,64,36,8,0,0,0
270,実はそのときに渡される伝統 ,のトロフィーにこっそりラクガ,キしてしまったんじゃ」,0,0,0,76,実はそのときに渡される伝統のトロフィーにこっそりラクガキしてしまったんじゃ」,1,50,22,0,0,0,0
271,(生前からとんでもない野郎ね, ),0,0,0,0,28,(生前からとんでもない野郎ね),1,2,0,0,0,0,0
272,「そのラクガキの言葉が呪文 ,になっておるのじゃ、どうにか,手に入れてくれんかのう」,0,0,0,78,「そのラクガキの言葉が呪文になっておるのじゃ、どうにか手に入れてくれんかのう」,1,52,24,0,0,0,0
273,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
274,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
275,なんか嫌な夢みたな………… ,ていうかちゃんとハッキリ覚え,てるから本当のことかも,0,0,0,76,なんか嫌な夢みたな…………ていうかちゃんとハッキリ覚えてるから本当のことかも,1,50,22,0,0,0,0
276, ,0,0,0,0,0,1, ,0,0,0,0,0,0,0
277,今日は文化祭！例のトロフィ ,ーのために文化祭の実行委員と,して準備がんばってたけど、織, 路原賞なんて取れる自信ない ,な……,0,114,今日は文化祭！例のトロフィーのために文化祭の実行委員として準備がんばってたけど、織路原賞なんて取れる自信ないな……,1,88,60,32,4,0,0
278,今から自由時間だ！何しよう ,？,0,0,0,0,28,今から自由時間だ！何しよう？,1,2,0,0,0,0,0
279,                           ,                            ,0,0,0,0,54,                                                      ,1,28,0,0,0,0,0
280,演劇は……シンデレラにオリ ,ジナル要素いれた劇かぁ……見,てみたいかも！,0,0,0,68,演劇は……シンデレラにオリジナル要素いれた劇かぁ……見てみたいかも！,1,42,14,0,0,0,0
281,演劇部の桜児くんが王子様役 ,で出るんだって！きっと王子様,姿がとっても似合うんだろうな,0,0,0,82,演劇部の桜児くんが王子様役で出るんだって！きっと王子様姿がとっても似合うんだろうな,1,56,28,0,0,0,0
282,       ,0,0,0,0,0,7,       ,0,0,0,0,0,0,0
283, ,0,0,0,0,0,1, ,0,0,0,0,0,0,0
284,「あれ？桜児くんがいる…… ,って元気ないね。」,0,0,0,0,44,「あれ？桜児くんがいる……って元気ないね。」,1,18,0,0,0,0,0
285,「や、やっほ〜、舞台、緊張 ,しちゃって。」,0,0,0,0,39,「や、やっほ〜、舞台、緊張しちゃって。」,1,13,0,0,0,0,0
286,                           ,                            ,0,0,0,0,54,                                                      ,1,28,0,0,0,0,0
287,「ほんと〜？嬉しい！」,0,0,0,0,0,21,「ほんと〜？嬉しい！」,0,0,0,0,0,0,0
288,                           ,                            ,0,0,0,0,54,                                                      ,1,28,0,0,0,0,0
289,「……ありがとう！[主人公の, 名前]ちゃんと話してたら元気,でてきたかも。頑張るね！」,0,0,0,80,「……ありがとう！[主人公の名前]ちゃんと話してたら元気でてきたかも。頑張るね！」,1,54,26,0,0,0,0
290,桜児くんは自信を取り戻した ,様子で舞台のほうにスタンバイ,しに行ったみたい！,0,0,0,72,桜児くんは自信を取り戻した様子で舞台のほうにスタンバイしに行ったみたい！,1,46,18,0,0,0,0
291,    ,0,0,0,0,0,4,    ,0,0,0,0,0,0,0
292,「キャ〜！！桜児くんカッコ ,イイ〜！！」,0,0,0,0,36,「キャ〜！！桜児くんカッコイイ〜！！」,1,10,0,0,0,0,0
293,「か、かっけぇ…………」,0,0,0,0,0,24,「か、かっけぇ…………」,0,0,0,0,0,0,0
294,「きっと今年の織路原賞は桜 ,児くんだね！」,0,0,0,0,40,「きっと今年の織路原賞は桜児くんだね！」,1,14,0,0,0,0,0
295,「えへへ、トロフィー、もら ,っちゃった！」,0,0,0,0,40,「えへへ、トロフィー、もらっちゃった！」,1,14,0,0,0,0,0
296,「おめでとう！桜児くん。」,0,0,0,0,0,26,「おめでとう！桜児くん。」,0,0,0,0,0,0,0
297,「今年トロフィーもらえたの ,はさ、,0,0,0,0,32,「今年トロフィーもらえたのはさ、,1,6,0,0,0,0,0
298,舞台前に元気づけてくれた[主, 人公の名前]ちゃんのおかげだ,よ。本当にありがとう！」,0,0,0,78,舞台前に元気づけてくれた[主人公の名前]ちゃんのおかげだよ。本当にありがとう！」,1,52,24,0,0,0,0
299,「記念撮影してもいいかな？ ,」,0,0,0,0,28,「記念撮影してもいいかな？」,1,2,0,0,0,0,0
300,「うん！(じゅ、呪文、確認し, なきゃ)」,0,0,0,0,36,「うん！(じゅ、呪文、確認しなきゃ)」,1,10,0,0,0,0,0
301,「はいチーズ！」,0,0,0,0,0,16,「はいチーズ！」,0,0,0,0,0,0,0
302,桜児くんの劇も成功したし、 ,無事トロフィーの呪文も確認で,きた！,0,0,0,60,桜児くんの劇も成功したし、無事トロフィーの呪文も確認できた！,1,34,6,0,0,0,0
303,あとはクリスマスまでに告白 ,しないと……！,0,0,0,0,40,あとはクリスマスまでに告白しないと……！,1,14,0,0,0,0,0
304,「ありがとう、舞台頑張る。 ,」,0,0,0,0,28,「ありがとう、舞台頑張る。」,1,2,0,0,0,0,0
305,やっぱりどこか不安げな表情 ,で桜児くんは去っていった。,0,0,0,0,52,やっぱりどこか不安げな表情で桜児くんは去っていった。,1,26,0,0,0,0,0
306,結局私はトロフィーは手に入 ,らなかったし呪いを解く呪文も,わからないまま。,0,0,0,70,結局私はトロフィーは手に入らなかったし呪いを解く呪文もわからないまま。,1,44,16,0,0,0,0
307,このままずっとおじさんのOG ,☆3と残りの学園生活をすごす , とになるんだ……,0,0,0,71,このままずっとおじさんのOG☆3と残りの学園生活をすごすことになるんだ……,1,45,17,0,0,0,0
308,[END4 おじさんたちともう1年, ],0,0,0,0,28,[END4 おじさんたちともう1年],1,2,0,0,0,0,0
309,文化祭といえば売店だよね！ ,沢山たべちゃうぞ〜！,0,0,0,0,45,文化祭といえば売店だよね！沢山たべちゃうぞ〜！,1,19,0,0,0,0,0
310,       ,0,0,0,0,0,7,       ,0,0,0,0,0,0,0
311, ,0,0,0,0,0,1, ,0,0,0,0,0,0,0
312,ドン！,0,0,0,0,0,6,ドン！,0,0,0,0,0,0,0
313,「わっすみません、」,0,0,0,0,0,20,「わっすみません、」,0,0,0,0,0,0,0
314,「……」,0,0,0,0,0,8,「……」,0,0,0,0,0,0,0
315,「？」,0,0,0,0,0,6,「？」,0,0,0,0,0,0,0
316,あの着ぐるみ、なんだかこっ ,ちを見つめてたような……どう,してだろう？,0,0,0,66,あの着ぐるみ、なんだかこっちを見つめてたような……どうしてだろう？,1,40,12,0,0,0,0
317,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
318,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
319,ふ〜買った買った！友達とは ,はぐれちゃったから、ゆっくり,体育館裏でご飯食べちy……,0,0,0,78,ふ〜買った買った！友達とははぐれちゃったから、ゆっくり体育館裏でご飯食べちy……,1,52,24,0,0,0,0
320,    ,0,0,0,0,0,4,    ,0,0,0,0,0,0,0
321,「え？！光先輩？！？？？？ ,？」,0,0,0,0,30,「え？！光先輩？！？？？？？」,1,4,0,0,0,0,0
322,「……ハッ！」,0,0,0,0,0,14,「……ハッ！」,0,0,0,0,0,0,0
323,おじさんがかわいい着ぐるみ ,きてるの、なんかシュール……,0,0,0,0,54,おじさんがかわいい着ぐるみきてるの、なんかシュール……,1,28,0,0,0,0,0
324,「さっきの着ぐるみ、先輩だ ,ったんですね！先輩ってやっぱ,りかわいいものが好きなんじゃ, ……」,0,0,88,「さっきの着ぐるみ、先輩だったんですね！先輩ってやっぱりかわいいものが好きなんじゃ……」,1,62,34,6,0,0,0
325,「いやこれはだな……生徒会 ,長として生徒会の展示の宣伝を,しようとしてただけでだな……, 」,0,0,84,「いやこれはだな……生徒会長として生徒会の展示の宣伝をしようとしてただけでだな……」,1,58,30,2,0,0,0
326,「ただ、いまいちお客さんが ,こないんだ。」,0,0,0,0,40,「ただ、いまいちお客さんがこないんだ。」,1,14,0,0,0,0,0
327,   ,0,0,0,0,0,3,   ,0,0,0,0,0,0,0
328,「だがこのままのやり方では ,いけないな、なんとかならない,だろうか……」,0,0,0,68,「だがこのままのやり方ではいけないな、なんとかならないだろうか……」,1,42,14,0,0,0,0
329,   ,0,0,0,0,0,3,   ,0,0,0,0,0,0,0
330,「生徒会のために協力してく ,れるのか。ありがとう。共に頑,張ろう！」,0,0,0,64,「生徒会のために協力してくれるのか。ありがとう。共に頑張ろう！」,1,38,10,0,0,0,0
331,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
332,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
333,……織路原賞、おめでとう[主, 人公の名前]」,0,0,0,0,40,……織路原賞、おめでとう[主人公の名前]」,1,14,0,0,0,0,0
334,「先輩こそ！」,0,0,0,0,0,14,「先輩こそ！」,0,0,0,0,0,0,0
335,私達は異例の織路原賞W受賞を, した。生徒会の活動の貢献を , たことと、私が発案した着ぐ ,るみを着た光先輩による即興の, パフォーマンスが好評だった ,みたい！,143,私達は異例の織路原賞W受賞をした。生徒会の活動の貢献をしたことと、私が発案した着ぐるみを着た光先輩による即興のパフォーマンスが好評だったみたい！,1,117,89,61,33,5,0
336,私はもらったトロフィーを見 ,ながら呪文を覚えた。,0,0,0,0,46,私はもらったトロフィーを見ながら呪文を覚えた。,1,20,0,0,0,0,0
337,あとはクリスマスまでに告白 ,しないと……！,0,0,0,0,40,あとはクリスマスまでに告白しないと……！,1,14,0,0,0,0,0
338,私たちは生徒会の展示の宣伝 ,を頑張った！少しはお客さんが,増えたみたいでよかった。,0,0,0,78,私たちは生徒会の展示の宣伝を頑張った！少しはお客さんが増えたみたいでよかった。,1,52,24,0,0,0,0
339,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
340,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
341,すっかりトロフィーのこと忘 ,れてた……,0,0,0,0,36,すっかりトロフィーのこと忘れてた……,1,10,0,0,0,0,0
342,結局私はトロフィーは手に入 ,らなかったし呪いを解く呪文も,わからないままだった。,0,0,0,76,結局私はトロフィーは手に入らなかったし呪いを解く呪文もわからないままだった。,1,50,22,0,0,0,0
343,このままずっとおじさんのOG ,☆3と残りの学園生活をすごす , とになるんだ……,0,0,0,71,このままずっとおじさんのOG☆3と残りの学園生活をすごすことになるんだ……,1,45,17,0,0,0,0
344,[END4 おじさんたちともう1年, ],0,0,0,0,28,[END4 おじさんたちともう1年],1,2,0,0,0,0,0
345,メイド喫茶…大好きな乙女ゲ ,ームの文化祭では執事喫茶とか,が定番だけど、かわいい女の子, のメイドさんに囲まれるのも ,アリかも！,0,118,メイド喫茶…大好きな乙女ゲームの文化祭では執事喫茶とかが定番だけど、かわいい女の子のメイドさんに囲まれるのもアリかも！,1,92,64,36,8,0,0
346,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
347,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
348,……ってここ琉絆空くんのク ,ラスじゃない？！,0,0,0,0,42,……ってここ琉絆空くんのクラスじゃない？！,1,16,0,0,0,0,0
349,    ,0,0,0,0,0,4,    ,0,0,0,0,0,0,0
350,「おかえりなさいませ♡ご主 ,人様！」,0,0,0,0,33,「おかえりなさいませ♡ご主人様！」,1,7,0,0,0,0,0
351,「……て、げ！[主人公の名前, ]先輩じゃん！」,0,0,0,0,42,「……て、げ！[主人公の名前]先輩じゃん！」,1,16,0,0,0,0,0
352,お、おおおじおじおじおじさ ,んのメイド〜〜〜？！？,0,0,0,0,45,お、おおおじおじおじおじさんのメイド〜〜〜？！？,1,19,0,0,0,0,0
353,って本来はイケメンが女装し ,てる……はずなんだよね,0,0,0,0,48,って本来はイケメンが女装してる……はずなんだよね,1,22,0,0,0,0,0
354,まさか女装メイド喫茶だった ,んなんて,0,0,0,0,34,まさか女装メイド喫茶だったんなんて,1,8,0,0,0,0,0
355,「こんな姿みられたくなかっ ,たから先輩には秘密にしておい,たんすよ。」,0,0,0,66,「こんな姿みられたくなかったから先輩には秘密にしておいたんすよ。」,1,40,12,0,0,0,0
356,「私もびっくりだよ……(色ん, な意味で)」,0,0,0,0,38,「私もびっくりだよ……(色んな意味で)」,1,12,0,0,0,0,0
357,「てか先輩助けてくださいよ ,、見てこのひどい化粧！」,0,0,0,0,50,「てか先輩助けてくださいよ、見てこのひどい化粧！」,1,24,0,0,0,0,0
358,   ,0,0,0,0,0,3,   ,0,0,0,0,0,0,0
