﻿number,mainstory,name,centercharacterimage,rightcaracterimage,leftcharacterimage,backimage,stillimage,characteranimation,bgm,se,selectid,monthimage,fadeanimation,moveanimation,screenanimation
217,おじさんの呪いをかけられる前の桜児くんを思い出すと、小柄で女の子みたいだし大丈夫かな……？,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
218,ちょっと心配だけど桜児くんにがんばってほしいし私も応援しよう！,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
219,｢桜児くんがんばれーー！！｣,えみ,clear,clear,clear,back_ground_noon,0,,sportsbgm,0,0,0,,,
220,ついに桜児くんにバトンが渡ったその時​─────,,clear,clear,clear,back_ground_noon,0,,sportsbgm,0,0,0,,,
221,    ,  ,clear,clear,clear,back_classroom,4still_July_ouzi,,sportsbgm,0,0,0,,,
222,｢おまたせ〜！ごめんね一位の人！抜かしちゃうよ！｣,犬山 桜児,clear,clear,clear,still_July_ouzi,0,,sportsbgm,run,0,0,,,
223,｢キャーーー！｣,女子生徒たち,clear,clear,clear,still_July_ouzi,0,,sportsbgm,0,0,0,,,
224,桜児くん速い！あっという間に一位の人を抜かしちゃった！,,clear,clear,clear,still_July_ouzi,0,,sportsbgm,0,0,0,,,
225,桜児くんって見かけによらず運動神経よかったんだ……,,clear,clear,clear,back_ground_noon,0,,sportsbgm,0,0,0,,,
226,リレーが終わって桜児くんは応援席にきてくれた。,,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
227,｢桜児くんお疲れ様！｣,えみ,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
228,｢応援ありがとうね！次の綱引き出るんだよね？がんばれ〜！｣,犬山 桜児,ouziojismile_sports,clear,clear,back_ground_noon,0,pyonpyon,normal,0,0,0,,,
229,桜児くんはやっぱりファンサが手厚いな〜。応援してくれてるし、綱引きがんばるぞ！,,ouziojismile_sports,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
230,　                                                                       ,clear,clear,clear,clear,back_ground_noon,0,,normal,0,0,0,in,,
231,    　,clear,clear,clear,clear,back_ground_noon,0,,0,0,0,0,out,,
232,｢位置について、よーい……｣,生徒A,clear,clear,clear,back_ground_noon,0,,0,0,0,0,,,
233,ピストルの音がなる。,,clear,clear,clear,back_ground_noon,0,,sportsbgm,pisutoru,0,0,,,
234,相手のチームすごい力だ……！力には自信ないけど頑張らなくちゃ！,,clear,clear,clear,back_ground_noon,0,,sportsbgm,0,0,0,,,
235,自分たちのチームも負けじと綱を引いている。いい感じ！,,clear,clear,clear,back_ground_noon,0,,sportsbgm,0,0,0,,,
236,｢うっ！痛い｣,えみ,clear,clear,clear,back_ground_noon,0,,0,0,0,0,,,zuki
237,手と綱が擦れてすごく痛い……！,,clear,clear,clear,back_ground_noon,0,,0,0,0,0,,,
238,でも、もう少しで勝てそう！我慢我慢……,,clear,clear,clear,back_ground_noon,0,,0,0,0,0,,,
239,その時、相手チームか凄い力で綱を引いてきた。,,clear,clear,clear,back_ground_noon,0,,0,0,0,0,,,
240,｢わっ！｣,えみ,clear,clear,clear,back_ground_noon,0,,0,attack,0,0,,,
241,｢っ……！｣,えみ,clear,clear,clear,back_ground_noon,0,,0,0,0,0,,,
242,凄い勢いで転けちゃった、恥ずかしい……,,clear,clear,clear,back_ground_noon,0,,0,0,0,0,,,
243,｢怪我をしている……この様子だと大丈夫そうではないな。保健室に向かおう。｣,目鏡 光,hikaruoji_sports_mu,clear,clear,back_ground_noon,0,run,0,runtowards,0,0,,,
244,｢なんで先輩が……って、えっ？！！｣,えみ,hikaruoji_sports_mu,clear,clear,back_ground_noon,0,,normal,0,0,0,,,
245,   ,   ,clear,clear,clear,back_classroom,5still_July_hikaru,,normal,0,0,0,,,
246,私、お姫様だっこされてる？！！,,clear,clear,clear,still_July_hikaru,0,,normal,kirakira,0,0,,,
247,｢僕はリレーなどは得意ではないから綱引きに出たんだ。おかげで君を助けることができてよかった。｣,目鏡 光,clear,clear,clear,still_July_hikaru,0,,normal,0,0,0,,,
248,｢あの子目鏡生徒会長にお姫様だっこされてる、いいな〜……｣,女子生徒たち,clear,clear,clear,still_July_hikaru,0,,normal,0,0,0,,,
249,ひぃ、そうだった、光先輩って本来はイケメンなんだった。,,clear,clear,clear,still_July_hikaru,0,,normal,0,0,0,,,
250,周りの女子たちに羨望の眼差しで見られてる……,,clear,clear,clear,still_July_hikaru,0,,normal,0,0,0,,,
251,  ,clear,clear,clear,clear,still_July_hikaru,0,,normal,0,0,0,in,,
252,  ,clear,clear,clear,clear,back_dispensary,0,,0,0,0,0,out,,
253,                                  ,clear,clear,clear,clear,back_dispensary,0,,normal,0,0,0,,保健室,
254,｢あの、光先輩！保健室まで運んでくださってありがとうございます。すみません、迷惑をかけちゃって……｣,えみ,hikaruoji_sports,clear,clear,back_dispensary,0,,normal,0,0,0,,,
255,｢気にしないでくれ。一生懸命頑張った結果だからな。｣,目鏡 光,hikaruoji_sports_smile,clear,clear,back_dispensary,0,,normal,0,0,0,,,
256,やっぱり光先輩って優しいな……,,hikaruoji_sports_smile,clear,clear,back_dispensary,0,,normal,0,0,0,,,
257,無事に体育祭が終わった。今日は色んな人に助けられた一日だったな……今度お礼をしなくちゃ！,,clear,clear,clear,back_classroom_afternoon,0,,normal,0,0,0,,,
258,  ,clear,clear,clear,clear,back_classroom_afternoon,0,,normal,0,0,0,in,,
259, , ,clear,clear,clear,back_classroom,0,,0,jingle,0,month_August,,,
260,小木原学園に転校して最初の夏休み！せっかくだし夏っぽいことしたいなぁ。,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
261,......,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
262,この町は海水浴場が近いみたいだけど、転校したばかりでクラスメイトを海に誘う勇気なんてないし......,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
263,うーん,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
264,,clear,clear,clear,clear,back_heroineroom_noon,0,,room,0,4,0,,,
265,いや、やっぱり1人で海なんて無理無理。,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
266,来年彼氏をつくってドキドキ♡ビーチデートしてやるんだから~！,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
267,............こうして何もしないまま1ヶ月が過ぎ、貴重な青春の身を削った@であった,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
268,,clear,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,in,,
269,でもせっかくの夏休み、海行かなきゃ損だよね！,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
270,勇気だして1人でお昼ご飯食べに海の家にでもいって、その後は近くのショッピングモールで買い物でもしよう。,,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,,,
271,  ,clear,clear,clear,clear,back_heroineroom_noon,0,,room,0,0,0,in,,
272,,clear,clear,clear,clear,beach_noon,0,,0,0,0,0,out,,
273,,clear,clear,clear,clear,beach_noon,0,,nami,0,0,0,,海,
274,来ちゃった......1 人で海に......！,,clear,clear,clear,beach_noon,0,,nami,ba-n,0,0,,,shuchu
275,この町の海、すごく綺麗......,,clear,clear,clear,beach_noon,0,,nami,0,0,0,,,
276,今年中にOG☆3のおじさんの呪いを解いて、来年はこの海で彼氏とデートしたいな。,,clear,clear,clear,beach_noon,0,,nami,0,0,0,,,
277,ああ、こんな綺麗な海のある町でなんであの学園の銅像の心はひん曲がってるのやら。,,clear,clear,clear,beach_noon,0,,nami,0,0,0,,,
278,,clear,clear,clear,clear,beach_noon,0,,0,inspiration,0,0,,,bikkuri
279,    ,  ,clear,clear,clear,beach_noon,6still_August_ouzi,,0,kirakira,0,0,,,
280,あれ？桜児くん？！,,clear,clear,clear,still_August_ouzi,0,,sea_normal,0,0,0,,,
281,「@ちゃん？」,犬山 桜児,clear,clear,clear,still_August_ouzi,0,,sea_normal,0,0,0,,,
282,「偶然だね！今日は1人できたの？」,犬山 桜児,oujinormal_summer,clear,clear,beach_noon,0,,sea_normal,0,0,0,,,
283,「えっと、クラスメイトを海に誘う勇気なくて…」,えみ,oujinormal_summer,clear,clear,beach_noon,0,,sea_normal,0,0,0,,,
284,「えーっ全然誘ってくれてもよかったのに～！」,犬山 桜児,oujinormal_summer,clear,clear,beach_noon,0,pyonpyon,sea_normal,0,0,0,,,
285,「今日は光と琉絆空と来てるんだよ。せっかくだし一緒にどう？」,犬山 桜児,oujinormal_summer,clear,clear,beach_noon,0,,sea_normal,0,0,0,,,
286,「えっいいの？ありがとう！,えみ,oujinormal_summer,clear,clear,beach_noon,0,,sea_normal,0,0,0,,,
287,光先輩と琉絆空くんたちはどこにいるの？」,えみ,oujinormal_summer,clear,clear,beach_noon,0,,sea_normal,0,0,0,,,
288,  ,clear,clear,clear,clear,still_August_rukia,7still_August_rukia,,sea_normal,0,0,0,,,
289,「......ってあれ、浮き輪......？」,えみ,clear,clear,clear,still_August_rukia,0,,sea_normal,0,0,0,,,
290,「え、@先輩？！何でここに？！」,本田 琉絆空,clear,clear,clear,still_August_rukia,0,,sea_normal,0,0,0,,,
291,「もしかして泳ぐの苦手なの？」,,clear,clear,clear,still_August_rukia,0,,sea_normal,0,0,0,,,
292,「琉絆空ってば珍しいよね～っ基本スポーツ得意なのに水泳だけ苦手だなんて。」,犬山 桜児,clear,clear,clear,still_August_rukia,0,,sea_normal,0,0,0,,,
293,「絶対見られたくなかった......だから女の子は誘うなっていったのに......」,本田 琉絆空,clear,clear,clear,still_August_rukia,0,,sea_normal,0,0,0,,,surprise
294,「ん？@も来ていたのか。」,目鏡 光,hikaruoji_swim,clear,clear,beach_noon,0,,sea_normal,0,0,0,,,
295,「あ！光先輩！どこにいたんですか？」,えみ,hikaruoji_swim,clear,clear,beach_noon,0,,sea_normal,0,0,0,,,
296,「僕は波の音を聴きながら読書をしていた。」,目鏡 光,hikaruoji_swim,clear,clear,beach_noon,0,,sea_normal,0,0,0,,,
297,み、みんなやっている事がバラバラで自由すぎる......,,hikaruoji_swim,oujinormal_summer,rukiaoji_swim_smile,beach_noon,0,,sea_normal,0,0,0,,,
298,「せっかくですし、みんなで海で遊びましょうよ！......あっちの浅瀬でっ」,えみ,hikaruoji_swim,oujinormal_summer,rukiaoji_swim_smile,beach_noon,0,,sea_normal,walk_sand,0,0,,,
299,,clear,clear,clear,clear,beach_noon,0,,sea_normal,0,0,0,in,,
300,,clear,clear,clear,clear,beach_noon,8still_August_allone,,sea_normal,0,0,0,out,,
301,,clear,clear,clear,clear,beach_noon,8still_August_allone,,sea_normal,0,0,0,,,
302,,clear,clear,clear,clear,beach_noon,8still_August_allone,,sea_normal,0,0,0,in,,
303,,clear,clear,clear,clear,beach_afternoon,0,,nami,0,0,0,out,,
304,「あ～！楽しかった～！」,えみ,clear,clear,clear,beach_afternoon,0,,nami,0,0,0,,,
305,「疲れたねぇ～」,犬山 桜児,clear,clear,clear,beach_afternoon,0,,nami,0,0,0,,,
306,「今日は無限に飯が食えそ......」,本田 琉絆空,clear,clear,clear,beach_afternoon,0,,nami,0,0,0,,,
307,「お......！」,目鏡 光,clear,clear,clear,beach_afternoon,0,,0,0,0,0,,,
308,,,clear,clear,clear,beach_afternoon,9still_August_hikaru,,0,0,0,0,,,
309,「見てくれ、綺麗な貝殻だ。@によく似合う。」,目鏡 光,clear,clear,clear,still_August_hikaru,0,,sea_last,0,0,0,,,
310,「わぁ綺麗......ありがとうございます！宝物にします。」,えみ,clear,clear,clear,still_August_hikaru,0,,sea_last,0,0,0,,,
311,「ねぇねぇ、こっちにもきれいなのあるよ～！」,犬山 桜児,clear,clear,clear,beach_afternoon,0,,sea_last,0,0,0,,,
312,「すげ～！1番きれいな貝殻見つけたやつが優勝な！」,本田 琉絆空,clear,clear,clear,beach_afternoon,0,,sea_last,0,0,0,,,
313,「美しいものを見極めるのには自信があるぞ。」,目鏡 光,clear,clear,clear,beach_afternoon,0,,sea_last,0,0,0,,,
314,「よ～し、負けないぞ～！」,犬山 桜児,clear,clear,clear,beach_afternoon,0,,sea_last,0,0,0,,,
315,み、みんな元気だな......,,clear,clear,clear,beach_afternoon,0,,sea_last,0,0,0,,,
316,,clear,clear,clear,clear,beach_afternoon,0,,sea_last,0,0,0,in,,
317,,clear,clear,clear,clear,back_heroineroom_night,0,,0,0,0,0,out,,
318,,clear,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,部屋,
319,今日は OG☆3 のみんなと偶然会えて楽しかった~！,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
320,勇気出して1人で海に行って正解だったな。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
321,今日の1番の思い出は......,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
322,,clear,clear,clear,clear,back_heroineroom_night,0,,room,0,5,0,,,
323,やっぱり桜児くんが一緒に遊ぼうって誘ってくれたことかな。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
324,桜児くんのやさしい気遣いのおかげで、今日一日楽しくすごせたなぁ。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
325,来年は元の姿の桜児くんと海にいけるといいな。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
326,やっぱり琉絆空くんがカナヅチだったってことかな。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
327,他のスポーツは得意なのに何だか意外だったけど、必死に隠そうとしてた姿がかわいかったな。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
328,来年は元の姿の琉絆空くんと海にいけるといいな。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
329,やっぱり光先輩が綺麗な貝殻を見つけてくれたことかな。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
330,あんなに綺麗なものを私に似合うだなんて言われたのはじめてだったよ......。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
331,来年は元の姿の光先輩と海にいけるといいな。,,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,,,
332,,clear,clear,clear,clear,back_heroineroom_night,0,,room,0,0,0,in,,
333, ,,clear,clear,clear,back_stairs,0,,0,jingle,0,month_September,,,
334,あーとうとう夏休み終わっちゃったな。全然遊びたりないよ......,,clear,clear,clear,back_stairs,0,,normal,0,0,0,,,
335,ん?,,clear,clear,clear,back_stairs,0,,normal,0,0,0,,,
336,花火大会のポスター?,,clear,clear,clear,back_stairs,0,,normal,0,0,0,,,
337,来週か〜行きたいな。でも誰を誘おう?,,clear,clear,clear,back_stairs,0,,normal,0,0,0,,,
338,「「う〜ん......」」,えみ＆？？？,clear,clear,clear,back_stairs,0,,normal,0,0,0,,,
339,「って@先輩?！」,本田 琉絆空,rukiaoji_summer_surprised,clear,clear,back_stairs,0,,normal,0,0,0,,,
340,「もしかして琉絆空くんもこのポスター見てた?」,えみ,rukiaoji_summer,clear,clear,back_stairs,0,,normal,0,0,0,,,
341,「はい、でも誰誘おうかなって......」,本田 琉絆空,rukiaoji_summer_u-n,clear,clear,back_stairs,0,,normal,0,0,0,,,
342,琉絆空くんも行く人がいないのか・・・どうしよう？,,rukiaoji_summer_u-n,clear,clear,back_stairs,0,,normal,0,0,0,,,
343, ,clear,clear,clear,clear,back_stairs,0,,normal,0,6,0,,,
344,「誰か行く人見つかればいいね」,えみ,rukiaoji_summer_u-n,clear,clear,back_stairs,0,,normal,0,0,0,,,
345,「そうなんすよ。光と桜児でも誘ってみるか〜」,本田 琉絆空,rukiaoji_summer,clear,clear,back_stairs,0,,normal,0,0,0,,,
346,OG☆3 の 3 人は幼なじみなだけあってやっぱり仲良しなんだな〜,,rukiaoji_summer,clear,clear,back_stairs,0,,normal,0,0,0,,,
347,,clear,rukiaoji_summer,clear,clear,back_stairs,0,,normal,0,0,0,in,,
348,「え！?私も」,えみ,rukiaoji_summer,clear,clear,back_stairs,0,,normal,0,0,0,,,
349,「マジすか?！せっかくなんで一緒に行きましょうよ！」,本田 琉絆空,rukiaoji_summer_smile,clear,clear,back_stairs,0,,normal,0,0,0,,,
350,成り行きで花火大会いくことになったけどこれってデートじゃない?！,,clear,clear,clear,back_stairs,0,,normal,0,0,0,,,
351,このチャンス絶対に活かしてみせる！,,clear,clear,clear,back_stairs,0,,normal,0,0,0,,,
352,  ,clear,clear,clear,clear,back_stairs,0,,normal,0,0,0,in,,
353,,clear,clear,clear,clear,yatai_afternoon,0,,FestivalSE,0,0,0,out,,
354,,clear,clear,clear,clear,yatai_afternoon,0,,FestivalSE,0,0,0,,花火大会,
355,「屋台の飯美味そ〜！！」,本田 琉絆空,rukiaoji_jinbei_smile,clear,clear,yatai_afternoon,0,,festival_fun,0,0,0,,,
356,琉絆空くんの瞳がいつになく輝いてる......。,,rukiaoji_jinbei_smile,clear,clear,yatai_afternoon,0,,festival_fun,0,0,0,,,
357,「箸巻き 3 つください！」,本田 琉絆空,rukiaoji_jinbei_smile,clear,clear,yatai_afternoon,0,pyonpyon,festival_fun,0,0,0,,,
358,3 つ?！,,rukiaoji_jinbei_smile,clear,clear,yatai_afternoon,0,,festival_fun,0,0,0,,,
359,「たこ焼きも焼きそばもたべちゃお！」,本田 琉絆空,rukiaoji_jinbei_smile,clear,clear,yatai_afternoon,0,rlpyonpyon,festival_fun,0,0,0,,,
360,さっき箸巻き 3 つたべたのに?！,,rukiaoji_jinbei_smile,clear,clear,yatai_afternoon,0,,festival_fun,0,0,0,,,
361,「かき氷も！」,本田 琉絆空,rukiaoji_jinbei_smile,clear,clear,yatai_afternoon,0,pyonpyon,festival_fun,0,0,0,,,
362,琉絆空くんめっちゃ食べてる......私もなにか食べようかな?,,clear,clear,clear,yatai_afternoon,0,,festival_fun,0,0,0,,,
363,う～ん・・・,,clear,clear,clear,yatai_afternoon,0,,festival_fun,0,0,0,,,
364,わたあめの屋台もあるし、ポテトもすて難いし......,,clear,clear,clear,yatai_afternoon,0,,festival_fun,0,0,0,,,
365,,clear,clear,clear,clear,yatai_afternoon,0,,festival_fun,0,0,0,in,,
366,,clear,clear,clear,clear,yatai_night,0,,0,0,0,0,out,,
367,ってあれ?！,,clear,clear,clear,yatai_night,0,,0,0,0,0,,,
368,琉絆空くんどこ?！,,clear,clear,clear,yatai_night,0,,FestivalSE,0,0,0,,,
369,人混み凄くてはぐれちゃった......,,clear,clear,clear,yatai_night,0,,FestivalSE,0,0,0,,,
370,どうしよう、ちゃんとはぐれないように気をつけてたはずなのに。,,clear,clear,clear,yatai_night,0,,FestivalSE,0,0,0,,,blue
371,もっと離れてしまう前に琉絆空くんを見つけなきゃ！,,clear,clear,clear,yatai_night,0,,FestivalSE,0,0,0,,,
372,,,clear,clear,clear,yatai_night,yatai_night,,FestivalSE,geta,0,0,,,
373,,,clear,clear,clear,syateki,syateki,,FestivalSE,geta,0,0,,,
374,「キャー♡」,女性達,clear,clear,clear,syateki,0,,FestivalSE,0,0,0,,,
375,「ん?この悲鳴......まさか！」,えみ,clear,clear,clear,syateki,0,,FestivalSE,0,0,0,,,
376,やっぱり！女の子に囲まれているおじさんがいる。,,clear,clear,clear,yatai_night,0,,FestivalSE,geta,0,0,,,
377,「いやいや、今日は一緒に来てる子がいて......あ！」,本田 琉絆空,rukiaoji_jinbei_asease,clear,clear,yatai_night,0,,FestivalSE,0,0,0,,,
378,「見つけた」,本田 琉絆空,rukiaoji_jinbei_smile,clear,clear,yatai_night,0,,0,kirakira_happy,0,0,,,kira
379,,,clear,clear,clear,yatai_night,10still_september_rukia,,0,0,0,0,,,
380,「えっ......手」,えみ,clear,clear,clear,still_september_rukia,0,,0,0,0,0,,,
381,「これでもう迷子にならないっすよね。」,本田 琉絆空,clear,clear,clear,still_september_rukia,0,,0,0,0,0,,,
382,「あ......ありがとう」,えみ,clear,clear,clear,still_september_rukia,0,,0,0,0,0,,,
383,「まもなく花火打ち上げの時間となっております。,アナウンス,clear,clear,clear,yatai_night,0,,FestivalSE,anounce,0,0,,,
384,20 時に屋台の照明が消えますので──────」,アナウンス,clear,clear,clear,yatai_night,0,,FestivalSE,0,0,0,,,
385,「もうそんな時間?！私も急いで屋台で食べ物買わなきゃ！」,えみ,clear,clear,clear,yatai_night,0,,FestivalSE,0,0,0,,,
386,「今度ははぐれないようにしましょうね。」,本田 琉絆空,rukiaoji_jinbei_smile,clear,clear,yatai_night,0,,0,0,0,0,,,
387,,clear,clear,clear,clear,yatai_night,0,,0,0,0,0,in,,
388,,clear,clear,clear,clear,black,black,,0,fireflower1,0,0,out,,
389,,clear,clear,clear,clear,hanabi,hanabi,,0,fireflower2,0,0,,,
390,「綺麗......」,えみ,clear,clear,clear,hanabi,0,,festival_hanabi,0,0,0,,,
391,「夏の思い出増えましたね。」,本田 琉絆空,clear,clear,clear,hanabi,0,,festival_hanabi,0,0,0,,,
392,「そうだね」,えみ,clear,clear,clear,hanabi,0,,festival_hanabi,0,0,0,,,
393,花火の中聞こえる琉絆空くんの声、優しかった。,,clear,clear,clear,hanabi,0,,festival_hanabi,0,0,0,,,
394,,,clear,clear,clear,hanabi,0,,festival_hanabi,0,0,0,in,,
395,,,clear,clear,clear,black,black,,0,0,0,0,,,
, ,month10月,0,0,0,0,black,,0,2,0,10,,,
,「い……………………おい……………………聞こえているか？」,???,0,0,0,16,0,,1,0,0,0,,,
,「んぅ………………」,えみ,0,0,0,16,0,,1,0,0,0,,,
,「起きんか！重要な知らせがあるのじゃ！」,???,0,0,0,16,0,,1,0,0,0,,,
,「げ、この声とこの話しかけ方は！……意地の悪い銅像！！！の、幻聴？夢？」,えみ,0,0,0,16,0,,1,0,0,0,,,
,「意地の悪いとはなんじゃ！ただ暇つぶしにおぬしだけにおじさんの幻覚がみえる呪いを……,銅像,0,0,0,16,0,,1,0,0,0,,,
,……ってわし性格悪いのう？！」,銅像,0,0,0,16,0,,1,0,0,0,,,
,「一応、自覚はあったんだ！」,えみ,0,0,0,16,0,,1,0,0,0,,,
,「近頃OG☆3の3人との中はどうじゃ？」,銅像,0,0,0,16,0,,1,0,0,0,,,
,「こんな夜中に銅像のおじさんとガールズトークかよ！」,えみ,0,0,0,16,0,,1,0,0,0,,,
,「わしは爺さんじゃが？」,銅像,0,0,0,16,0,,1,0,0,0,,,
,「……まぁ話を戻すが、わしは4月に「クリスマスまで「両思いにならないとOG☆3がおじさんに見える呪いは解かない」と言ったな？」,銅像,0,0,0,16,0,,1,0,0,0,,,
,「はい……」,えみ,0,0,0,16,0,,1,0,0,0,,,
,「呪いの解く呪文を忘れてしまったのじゃ」,銅像,0,0,0,16,0,,1,0,0,0,,,
,「ハァ？！！！」,えみ,0,0,0,16,0,,1,0,0,0,,,
,「ただし、思い出す方法が1つある」,銅像,0,0,0,16,0,,1,0,0,0,,,
,「どんな方法なの？」,えみ,0,0,0,16,0,,1,0,0,0,,,
,「我が校では、毎年文化祭で最も活躍した人が選ばれる『小木原賞』というものが選ばれるのじゃが,銅像,0,0,0,16,0,,1,0,0,0,,,
,実はそのときに渡される伝統のトロフィーにこっそりラクガキしてしまったんじゃ」,銅像,0,0,0,16,0,,1,0,0,0,,,
,(生前からとんでもない野郎ね),えみ,0,0,0,16,0,,1,0,0,0,,,
,「そのラクガキの言葉が呪文になっておるのじゃ、どうにか手に入れてくれんかのう」,銅像,0,0,0,16,0,,1,0,0,0,,,
,  ,                ,0,0,0,16,0,,0,0,0,0,,,
,           ,                ,0,0,0,16,0,,0,0,0,0,,,
,                                  ,  ,0,0,0,17,0,,0,0,0,0,,,
,なんか嫌な夢みたな…………ていうかちゃんとハッキリ覚えてるから本当のことかも,えみ,0,0,0,17,0,,1,0,0,0,,,
, ,month11月,0,0,0,0,0,,1,0,0,11,,,
,今日は文化祭！例のトロフィーのために文化祭の実行委員として準備がんばってたけど、小木原賞なんて取れる自信ないな……,えみ,0,0,0,0,0,,1,0,0,0,,,
,今から自由時間だ！何しよう？,えみ,0,0,0,0,0,,1,0,0,0,,,
,                                                      ,   ,0,0,0,0,0,,7,0,4,0,,,
,演劇は……シンデレラにオリジナル要素いれた劇かぁ……見てみたいかも！,えみ,0,0,0,0,0,,1,0,0,0,,,
,演劇部の桜児くんが王子様役で出るんだって！きっと王子様姿がとっても似合うんだろうな,えみ,0,0,0,0,0,,1,0,0,0,,,
,  ,                ,0,0,0,0,0,,0,0,0,0,,,
,           ,                ,0,0,0,0,0,,0,0,0,0,,,
,                                  ,  ,0,0,0,6,0,,0,0,0,0,,,
,「あれ？桜児くんがいる……って元気ないね。」,えみ,0,0,0,6,0,,1,0,0,0,,,
,「や、やっほ〜、舞台、緊張しちゃって。」,犬山 桜児,11,0,0,6,0,,1,0,0,0,,,
,                                                      ,   ,0,0,0,6,0,,7,0,1,0,,,
,「ほんと〜？嬉しい！」,犬山 桜児,9,0,0,6,0,,1,0,0,0,,,
,                                                      ,   ,0,0,0,6,0,,7,0,1,0,,,
,「……ありがとう！@ちゃんと話してたら元気でてきたかも。頑張るね！」,犬山 桜児,9,0,0,6,0,,1,0,0,0,,,
,桜児くんは自信を取り戻した様子で舞台のほうにスタンバイしに行ったみたい！,えみ,9,0,0,6,0,,1,0,0,0,,,
,    ,  ,0,0,0,0,72,,0,0,0,0,,,
,「キャ〜！！桜児くんカッコイイ〜！！」,女子生徒1,9,0,0,6,0,,1,0,0,0,,,
,「か、かっけぇ…………」,男子生徒1,9,0,0,6,0,,1,0,0,0,,,
,「きっと今年の小木原賞は桜児くんだね！」,女子生徒2,9,0,0,6,0,,1,0,0,0,,,
,  ,                ,0,0,0,6,0,,0,0,0,0,,,
,           ,                ,0,0,0,6,0,,0,0,0,0,,,
,                                  ,  ,0,0,0,14,0,,0,0,0,0,,,
,「えへへ、トロフィー、もらっちゃった！」,犬山 桜児,9,0,0,14,0,,1,0,0,0,,,
,「おめでとう！桜児くん。」,えみ,9,0,0,14,0,,1,0,0,0,,,
,「今年トロフィーもらえたのはさ、,犬山 桜児,9,0,0,14,0,,1,0,0,0,,,
,舞台前に元気づけてくれた@ちゃんのおかげだよ。本当にありがとう！」,犬山 桜児,9,0,0,14,0,,1,0,0,0,,,
,「記念撮影してもいいかな？」,犬山 桜児,9,0,0,14,0,,1,0,0,0,,,
,「うん！(じゅ、呪文、確認しなきゃ)」,えみ,9,0,0,14,0,,1,0,0,0,,,
,「はいチーズ！」,犬山 桜児,9,0,0,14,0,,1,0,0,0,,,
,桜児くんの劇も成功したし、無事トロフィーの呪文も確認できた！,えみ,9,0,0,14,0,,1,0,0,0,,,
,あとはクリスマスまでに告白しないと……！,えみ,9,0,0,14,0,,1,0,0,0,,,
,「ありがとう、舞台頑張る。」,犬山 桜児,11,0,0,6,0,,1,0,0,0,,,
,やっぱりどこか不安げな表情で桜児くんは去っていった。,えみ,0,0,0,6,0,,1,0,0,0,,,
,結局私はトロフィーは手に入らなかったし呪いを解く呪文もわからないまま。,えみ,0,0,0,6,0,,1,0,0,0,,,
,このままずっとおじさんのOG☆3と残りの学園生活をすごすことになるんだ……,えみ,0,0,0,6,0,,1,0,0,0,,,
,[END4 おじさんたちともう1年],,0,0,0,6,0,,1,0,0,0,,,
,文化祭といえば売店だよね！沢山たべちゃうぞ〜！,えみ,0,0,0,0,0,,1,0,0,0,,,
,  ,                ,0,0,0,0,0,,0,0,0,0,,,
,           ,                ,0,0,0,0,0,,0,0,0,0,,,
,                                  ,  ,0,0,0,3,0,,0,0,0,0,,,
,ドン！,  ,0,0,0,3,0,,1,0,0,0,,,
,「わっすみません、」,えみ,0,0,0,3,0,,1,0,0,0,,,
,「……」,謎の着ぐるみ,6,0,0,3,0,,1,0,0,0,,,
,「？」,えみ,6,0,0,3,0,,1,0,0,0,,,
,あの着ぐるみ、なんだかこっちを見つめてたような……どうしてだろう？,えみ,6,0,0,3,0,,1,0,0,0,,,
